aid,label,uid,age,gender,marriageStatus,education,consumptionAbility,LBS,interest1,interest2,interest3,interest4,interest5,kw1,kw2,kw3,topic1,topic2,topic3,appIdInstall,appIdAction,ct,os,carrier,house,advertiserId,campaignId,creativeId,creativeSize,adCategoryId,productId,productType
1728,0.0,64335974,4,1,11,7,1,879.0,93 70 77 37 12 47 4 69 8 49 6 42 46 35 112 36 11 38 96 118 100 76 48 106 16 41 15 71 9,24 33 30 45,,,127 100 72 80 131 37 4 71 48 8 113 6 42 89 46 59 36 103 38,761845 210767 60245 250260 363747,99827 83281 5262 70903 120959,,644 4367 7043 9826 9324,1761 2044 4441 5838 105,,,,3 1,2,1,,8203,42625,884105,59,218,0,6
1904,0.0,40936344,1,1,13 10,7,0,346.0,,,,,119 72 116 71 8 69 50 6 42 19 5 76 59 60 64 129 130 21 93,,66009 100552 100125 76242 13947,,,2905 8197 8357 6160 2239,,,,3 1,1,2,1.0,8203,37818,414738,109,142,0,6
1407,0.0,58000262,1,1,10,2,1,112.0,49 6 89 18 73 116 36 11 87,24 30,,,52 72 31 92 131 37 116 13 8 41 6 76 111 89 46 121 59 14 129 130 93,422643 787308 446434 639553 709965,51872 92596 39525 81211 92155,,298 2153 5512 1803 7089,7977 9838 2353 2372 9008,,,,3 1 4,1,1,1.0,702,12724,962151,105,10,4669,11
302,0.0,81352665,2,2,10,1,1,792.0,70 76 28 42 62 96,22 70 54,,,104 72 13 78 109 8 30 50 28 6 42 76 27 20 58 64 35 85 40 131 11 79 89 59 24 118 129 130 51 120 93 83,361151 258463 318593 204792 746484,1373 51931 14528 41409 66079,,286 7620 7143 2396 6666,5169 8402 966 3051 1765,,,,3 1,1,1,,18621,745599,1628574,91,21,0,4
1291,0.0,38358319,5,2,11,5,1,348.0,70 76 69 106 59 67 49 6 116 36 11 20,58 24 46 70 4 30 41 29,,,52 72 131 116 107 134 78 71 109 8 30 28 55 27 20 121 114 90 21 26,162804 649472 69826 92320 246587,105115 56438 119223 102944 40921,,793 328 6011 4701 8525,2351 8883 4123 8040 9487,,,,3 1,2,2,,1082,40405,1434096,53,13,0,6
692,0.0,52145834,3,1,11,2,2,210.0,93 70 76 46 36 11,,,,,488669 605930 208810 317494 562294,103447 5623 12933 62728 117462,,4305 6699 2711 397 3476,9347 5331 125 5830 8525,,,,0,0,0,,6946,296367,455396,59,24,3794,11
903,0.0,2217066,5,1,11,7,1,346.0,93 70 118 37 109 47 76 8 106 59 49 41 6 119 46 60 23 57 9 116 36 11 65,46 70 4 39 14 10 29,,,52 100 72 92 131 37 47 8 50 41 6 42 19 76 75 46 74 59 10 64 129 103 96,233867 453249 172534 162804 265174,33201 37224 46553 90287 24409,,4449 7856 9826 6627 3941,6307 1806 9491 5768 1471,,,,3 1 2,1,1,,285,59293,210057,42,30,0,6
1254,0.0,52265874,1,2,10,7,2,440.0,70 109 47 76 45 16 106 29 59 49 41 6 5 73 68 9 17 56 116 36 11 90,9 1 70 33 40 54,,,72 33 92 116 13 78 71 109 8 30 50 86 28 6 42 99 76 55 27 9 20 58 64 56 21 40 52 31 131 11 107 79 113 69 41 89 102 121 59 118 60 18 129 93 83,700362 457366 225420 61266 545668,52864 461 12933 846 35373,41633 44157 36983 25613 34599,7628 9673 976 166 2868,7003 2776 780 9784 7136,5918 4297 899 447 7242,,,1 3,1,1,1.0,8350,244601,1383456,35,59,0,4
1496,0.0,22862228,4,2,15,6,1,718.0,70 12 75 69 28 29 59 67 49 115 88 36 34 11 54,52 21 19 13,,,92 116 13 134 78 71 109 8 32 30 50 28 6 42 76 55 9 36 64 56 131 132 121 23 59 60 129 51,10518 591351 232760 522888 466095,846 20656 105115 114125 107309,,3925 1431 46 5595 7684,4883 428 5142 7286 3495,,,,3 1 2,1,2,,702,52258,1673644,59,10,4669,11
916,0.0,21818509,5,2,13 15,3,2,514.0,70 100 47 76 9 36 11,63 47 73 79 1 70 20 6 30,,,52 72 92 131 11 8 69 50 6 42 75 89 123 64 129 103,580549 307587 447798 100680 423580,62527 102474 104182 45950 14470,,803 4061 6537 2696 4301,1023 9110 5655 9541 4922,,,,3,1,1,,17597,51385,838056,35,25,0,6
1605,0.0,2258262,1,1,10,7,1,66.0,70 100 75 69 29 49 15 73 36 11 54 3,,,,100 13 78 71 30 46 94 14 84 56,796636 672143 36095 423580 236021,43585 32356 51859 97701 41740,,9264 8525 9464 6762 2291,4929 5884 9300 131 1808,,,,1 3,1,1,,11195,19215,1755470,53,140,0,4
70,0.0,31511040,1,2,10,3,0,94.0,70 86 100 47 76 28 108 9 36 11,66 47 70 20 10,,,72 116 13 134 47 109 8 6 42 76 9 64 52 31 131 11 107 79 69 5 89 121 74 59 10 130 96 93 83,120259 279516 499813 95059 61287,18185 117462 1718 23924 113315,,325 1661 6989 6939 4495,4642 3253 6945 3601 6237,,,,3 1,1,1,1.0,327,5616,5977,22,27,113,9
302,0.0,9685368,5,2,11,7,1,428.0,70 86 28 59 49 108 6 18 73 114 113 57 116 36 11 87,73 70 4 74 48 10,,,72 131 116 109 8 113 50 66 6 42 121 59 60 64 129 83,13321 64588 47358 54928 133606,36764 93916 8546 120667 16186,,9578 9826 1977 9292 9022,9708 6700 9826 9047 414,,,,3 1,1,1,,18621,745599,1628574,91,21,0,4
2031,0.0,56023654,1,2,10,7,1,972.0,70 109 28 119,,,,72 92 116 134 78 71 109 8 30 6 2 42 76 75 64 133 56 103 114 52 31 131 79 89 121 59 120 93 83,353815 64588 515008 223841 89154,102474 84817 56906 66915 85039,,7684 1443 4876 9682 1426,5371 2823 5008 5302 2902,,,,1,1,3,,83042,280832,425385,22,70,0,4
916,0.0,24552689,2,2,10,7,2,86.0,70 69 28 106 59 49 6 58 116 36 11 38,66 22 73 70 19 36 74 54,,,127 104 72 116 47 78 71 109 8 30 50 28 98 6 7 76 20 46 58 91 21 131 11 61 73 19 89 102 121 59 118 60 18 129 81 130 120 93 83,47358 115103 571034 406593 640848,4201 55108 11547 5685 85177,,9826 7706 7959 4351 4742,7068 1553 8184 296 598,,,,1 3 4,1,1,,17597,51385,838056,35,25,0,6
1119,0.0,72702682,4,1,11,3,0,203.0,93 77 109 12 75 4 8 29 49 27 6 42 73 19 46 35 56 112 36 11 118 59 114 39 111 85 71 23 17 87,4 41,,,100 80 116 13 4 8 50 28 6 42 76 27 20 46 64 122 40 52 131 17 61 121 74 59 60 129 96 93,764860 277671 283399 271833 691885,117462 56819 51859 88143 60276,,3866 654 7318 3162 3450,244 8193 2783 3953 3142,,,,1 3 2 4,1,1,,3993,63752,798752,59,10,19256,11
1950,0.0,6190305,2,1,10,2,0,333.0,,,,,,,,,,,,,,0,0,0,,41806,233191,1016027,35,13,27855,9
765,0.0,77351073,5,2,13 10,7,1,333.0,70 76 28 36 11,79 46 6 37,,,52 72 80 131 116 71 8 113 28 6 76 20 46 121 23 59 114 93 44,737447 796062 76132 773477 258788,93916 117462 74065 74249 121235,,8399 7262 1338 1947 8901,981 9565 3865 4381 4310,,,,3 1,1,1,,388,134068,1271219,35,27,113,9
2044,0.0,7984138,5,2,12 13,7,2,87.0,70 100 47 76 75 106 29 41 9 36 11,,,,104 72 33 116 107 79 109 69 6 87 42 27 89 121 59 64 40,289152 627369 258177 597905 484088,94520 37224 85177 74065 10267,,9163 4017 3110 2459 7684,5108 6552 597 6522 4148,,,,1 3,1,3,,49772,487541,869346,35,9,0,9
1566,0.0,66815603,1,1,13 10,6,1,514.0,47 75 29 59 49 85 23 9 36 11,,,,52 131 8 6 59 129,399416 289609 572280 771323 589299,109660 974 47288 3465 38842,,2011 3385 9095 644 7098,8726 2177 8822 4323 4819,,,,1 3,1,1,,6946,296367,520004,59,24,3794,11
1379,0.0,70317685,5,1,13 9,7,1,687.0,93 70 86 109 12 47 75 8 29 49 83 6 2 42 46 88 35 56 112 36 11 118 28 59 119 89 114 91 58 17 116 21 65,63 22 79 73 9 46 70 6 21 33 4 80 28 30 41 75 48 37 65 29,,,52 100 72 131 116 101 1 71 109 29 124 8 69 50 6 132 42 46 121 60 129 103 21,468512 445518 471038 790848 218639,121876 101276 63051 113228 56823,,9826 7684 8820 1450 6939,3747 3858 3124 7799 1656,,,,3 1 4 2,1,1,,8864,90700,469197,22,27,113,9
699,0.0,32650128,1,1,10,7,1,275.0,93 70 47 28 46 17 9 56 36 11,22 73 79 24 31 70 6 21 4 30 41 48 44,,,100 72 92 37 116 134 4 109 128 8 50 115 6 42 46 64 52 131 17 69 89 121 23 59 54,738790 181856 131520 277173 100680,34410 109981 43040 14449 77308,,3052 8212 7766 5754 1196,9385 3629 5976 5532 8922,,,,3 1,1,3,,1082,295940,731679,59,13,0,6
369,0.0,16417505,2,1,10,2,0,464.0,109 59 49 15 119 17 56 36 11,,,,92 116 71 128 50 28 6 132 99 75 59 60 21,126393 343050 407851 87586 398226,34410 67015 28692 80220 79200,,4264 3422 2968 140 9631,881 2654 9708 7767 7828,,,,3 1 2,1,3,,66025,170445,1229175,109,94,0,4
191,0.0,34971131,2,1,10,2,1,300.0,42 62,,,,78 30 6 42 76 23 64 130,480013 53354 231370 40878,117462 100125 34154 40971 56819,,7468 8501 4209 1514 9824,3023 5234 922 3489 6160,,,,3,1,1,,25485,50138,58465,35,51,15454,11
1415,0.0,57819574,3,1,11,6,2,958.0,93 70 86 76 4 106 67 49 42 73 72 46 23 35 36 11 87,,,,100 131 78 4 71 8 30 6 42 46 23 103 114,302611 717819 678510 365269 51739,17392 88936 4443 23417 82374,,6762 3863 523 8088 8557,1957 3795 3995 4745 7937,,,,1 3,2,2,,133292,464828,1334609,22,74,0,4
916,0.0,28622289,5,2,10,6,2,502.0,93 86 69 49 83 6 46 60 71 23 36 54 11 38 44,66 22 70 54,,,,780194 480775 172873 76762 420904,15941 98059 85039 1227 14946,,3194 1923 1187 180 3182,2478 982 5800 2076 5810,,,,1 3 2,1,0,,17597,51385,838056,35,25,0,6
1566,0.0,7994109,5,1,6 13,7,1,946.0,70 86 37 118 12 75 76 28 8 29 83 43 46 115 88 112 36 34 11,,,,131 37 116 13 71 8 6 5 9 46 121 94 74 122 129 35 21,468512 72241 298850 13228 369678,28206 11395 79112 92902 17392,,9826 9205 6939 3459 9845,523 2955 9213 5146 3107,,,,1 3,1,3,,6946,296367,520004,59,24,3794,11
966,0.0,53608383,3,1,11,1,1,437.0,93 70 77 109 98 47 69 45 102 8 29 49 26 46 56 36 11 44 25 118 76 48 106 67 41 119 95 17 65 80,63 30,,,,497092 323029 220178 319506 89154,110506 55238 29350 20274 67582,,8618 9826 6836 6661 644,5169 8387 4518 1758 4401,,,,3 1,1,0,,915,31020,666210,22,51,0,4
561,0.0,35347584,1,1,13 10,7,1,192.0,93 4 69 59 49 15 122 6 46 23 57 116 36 54 11,,,,100 72 37 116 13 4 71 8 6 42 9 46 94 85 56 103 114 21 65 52 131 41 121 59,347508 32976 172567 738145 681561,18185 56819 38306 93916 58846,,3658 9290 9022 2317 468,7816 3560 4323 5732 2631,,,,1 3,2,3,,44008,100565,808799,79,21,0,4
